Rk,Player,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Date_Time,Random_Number
1,Pape Abou Cisse,Olympiacos ,0,5,0,0.0,1.0,0.0,0.0,,20.5,1,0,0,0.4,0.4,0.08,-0.4,-0.4,2020-09-03 01:38:25,82
2,Tammy Abraham,Chelsea ,1,6,2,33.3,2.33,0.78,0.17,0.5,11.3,0,0,0,0.9,0.9,0.15,0.1,0.1,2020-04-15 17:10:40,26
3,Francesco Acerbi,Lazio ,0,3,1,33.3,0.5,0.17,0.0,0.0,14.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,2020-02-09 11:03:34,43
4,Marcos Acuña,Sevilla ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-08-19 14:02:19,42
5,Tyler Adams,RB Leipzig,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-05-18 04:31:17,77
6,Karim Adeyemi,RB Salzburg,1,2,1,50.0,3.4,1.7,0.5,1.0,15.9,0,0,0,0.6,0.6,0.28,0.4,0.4,2020-01-03 01:03:47,45
7,Adrián,Liverpool ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-04-09 17:57:57,47
8,Nayef Aguerd,Rennes ,0,3,0,0.0,0.98,0.0,0.0,,18.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-01-13 04:48:08,61
9,Sergio Agüero,Manchester City,2,1,1,100.0,0.86,0.86,1.0,1.0,3.0,0,1,1,1.4,0.7,0.66,0.6,0.3,2020-12-23 18:31:15,51
10,Manuel Akanji,Dortmund ,0,2,1,50.0,0.5,0.25,0.0,0.0,20.1,1,0,0,0.1,0.1,0.07,-0.1,-0.1,2020-01-23 02:58:57,63
11,Marley Aké,Marseille ,0,1,0,0.0,2.31,0.0,0.0,,4.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,2020-12-28 10:08:48,4
12,Nathan Aké,Manchester City,0,1,1,100.0,0.5,0.5,0.0,0.0,7.0,0,0,0,0.1,0.1,0.15,-0.1,-0.1,2020-09-24 23:34:43,42
13,Jean-Daniel Akpa-Akpro,Lazio ,1,3,1,33.3,0.99,0.33,0.33,1.0,13.8,0,0,0,0.4,0.4,0.13,0.6,0.6,2020-02-21 06:48:07,49
14,David Alaba,Bayern Munich,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-07-22 08:08:29,98
15,Jordi Alba,Barcelona ,0,1,0,0.0,0.3,0.0,0.0,,14.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2020-10-12 15:11:41,53
16,Luis Alberto,Lazio ,0,5,3,60.0,1.4,0.84,0.0,0.0,20.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4,2020-04-22 11:22:03,7
17,Danijel Aleksi?,Ba?ak?ehir ,0,4,2,50.0,3.33,1.67,0.0,0.0,22.4,1,0,0,0.1,0.1,0.03,-0.1,-0.1,2020-11-08 21:40:07,18
18,Carles Aleñá,Barcelona ,0,3,0,0.0,2.18,0.0,0.0,,24.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,2020-06-28 02:13:40,87
19,Trent Alexander-Arnold,Liverpool ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-10-17 06:48:51,60
20,Hasan Ali Kald?r?m,Ba?ak?ehir ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-07-02 23:22:51,91
